視窗代碼,交易起始日,交易結束日,分配資金(USD),視窗總損益(USD),視窗報酬率(%),年化報酬率(CAGR %),夏普率(Sharpe),涵蓋產業,入選配對數量,配對清單 (含產業)
W00,2020-01-02,2020-07-01,1000.0,-144.68,-14.47,-27.03,-1.993,Information Technology,3,"CRM-HPE [Information Technology], AMAT-CDW [Information Technology], CRM-AVGO [Information Technology]"
W01,2020-01-31,2020-07-30,1000.0,-52.84,-5.28,-10.37,-0.438,Information Technology,3,"ROP-NOW [Information Technology], AMAT-TDY [Information Technology], AMAT-TYL [Information Technology]"
W02,2020-03-02,2020-08-27,1000.0,-121.8,-12.18,-23.38,-2.895,Information Technology,3,"AMAT-TDY [Information Technology], IBM-INTU [Information Technology], MPWR-MU [Information Technology]"
W03,2020-03-30,2020-09-25,1000.0,33.87,3.39,7.03,0.253,Information Technology,3,"CDNS-CIEN [Information Technology], ROP-CIEN [Information Technology], MU-MPWR [Information Technology]"
W04,2020-04-28,2020-10-23,1000.0,-103.33,-10.33,-20.04,-2.384,Information Technology,3,"QCOM-ZBRA [Information Technology], CTSH-GLW [Information Technology], GDDY-PTC [Information Technology]"
W05,2020-05-27,2020-11-20,1000.0,59.92,5.99,12.75,1.572,Information Technology,3,"NTAP-IT [Information Technology], CTSH-TEL [Information Technology], IBM-TEL [Information Technology]"
W06,2020-06-24,2020-12-21,1000.0,-94.92,-9.49,-18.31,-2.789,Information Technology,3,"ADI-ACN [Information Technology], ACN-AVGO [Information Technology], CTSH-IBM [Information Technology]"
W07,2020-07-23,2021-01-21,1000.0,-90.45,-9.05,-17.32,-2.829,Information Technology,3,"INTU-ROP [Information Technology], PANW-AVGO [Information Technology], AMAT-QCOM [Information Technology]"
W08,2020-08-20,2021-02-19,1000.0,-78.96,-7.9,-15.13,-3.557,Information Technology,3,"INTU-ROP [Information Technology], PTC-TRMB [Information Technology], AVGO-PANW [Information Technology]"
W09,2020-09-18,2021-03-19,1000.0,-81.68,-8.17,-15.71,-1.8,Information Technology,3,"FFIV-KEYS [Information Technology], TRMB-ACN [Information Technology], WDAY-TXN [Information Technology]"
W10,2020-10-16,2021-04-19,1000.0,115.99,11.6,24.17,0.863,Information Technology,3,"KLAC-ROP [Information Technology], MCHP-ADI [Information Technology], TDY-IBM [Information Technology]"
W11,2020-11-13,2021-05-17,1000.0,-81.22,-8.12,-15.39,-2.397,Information Technology,3,"MCHP-PTC [Information Technology], AMAT-MCHP [Information Technology], WDAY-TXN [Information Technology]"
W12,2020-12-14,2021-06-15,1000.0,-60.91,-6.09,-11.78,-1.748,Information Technology,3,"AVGO-TXN [Information Technology], TRMB-PTC [Information Technology], ADI-MCHP [Information Technology]"
W13,2021-01-13,2021-07-14,1000.0,-38.54,-3.85,-7.58,-1.764,Information Technology,3,"KLAC-ZBRA [Information Technology], TRMB-PTC [Information Technology], ANET-KEYS [Information Technology]"
W14,2021-02-11,2021-08-11,1000.0,-67.51,-6.75,-13.15,-2.456,Information Technology,3,"INTU-TXN [Information Technology], INTU-APH [Information Technology], AMAT-PTC [Information Technology]"
W15,2021-03-12,2021-09-09,1000.0,-74.03,-7.4,-14.37,-0.786,Information Technology,3,"IBM-GEN [Information Technology], WDC-HPE [Information Technology], TXN-TEL [Information Technology]"
W16,2021-04-12,2021-10-07,1000.0,1.57,0.16,0.32,0.022,Information Technology,3,"WDC-HPE [Information Technology], PTC-KLAC [Information Technology], INTU-TXN [Information Technology]"
W17,2021-05-10,2021-11-04,1000.0,-45.74,-4.57,-9.15,-0.29,Information Technology,3,"INTU-MSI [Information Technology], WDC-HPE [Information Technology], ADI-KEYS [Information Technology]"
W18,2021-06-08,2021-12-03,1000.0,239.0,23.9,55.18,2.409,Information Technology,3,"WDC-HPE [Information Technology], KLAC-PTC [Information Technology], ADI-KEYS [Information Technology]"
W19,2021-07-07,2022-01-03,1000.0,30.16,3.02,6.21,0.419,Information Technology,3,"AKAM-VRSN [Information Technology], TDY-TXN [Information Technology], GDDY-ADSK [Information Technology]"
W20,2021-08-04,2022-02-01,1000.0,-165.81,-16.58,-30.62,-2.485,Information Technology,3,"AKAM-VRSN [Information Technology], TDY-APH [Information Technology], PTC-KLAC [Information Technology]"
W21,2021-09-01,2022-03-02,1000.0,-9.92,-0.99,-1.98,-0.313,Information Technology,3,"AKAM-VRSN [Information Technology], MSI-INTU [Information Technology], FSLR-QCOM [Information Technology]"
W22,2021-09-30,2022-03-30,1000.0,-47.09,-4.71,-9.27,-1.838,Information Technology,3,"AKAM-VRSN [Information Technology], MSI-INTU [Information Technology], TEL-TXN [Information Technology]"
W23,2021-10-28,2022-04-28,1000.0,43.79,4.38,8.97,0.695,Information Technology,3,"AKAM-VRSN [Information Technology], ADI-TEL [Information Technology], TEL-CSCO [Information Technology]"
W24,2021-11-26,2022-05-26,1000.0,-60.74,-6.07,-11.87,-2.41,Information Technology,3,"NXPI-CSCO [Information Technology], JBL-ORCL [Information Technology], TRMB-CDW [Information Technology]"
W25,2021-12-27,2022-06-27,1000.0,172.63,17.26,37.63,1.505,Information Technology,3,"ORCL-JBL [Information Technology], TXN-TDY [Information Technology], TXN-CSCO [Information Technology]"
W26,2022-01-25,2022-07-26,1000.0,-47.02,-4.7,-9.21,-1.863,Information Technology,3,"TXN-TDY [Information Technology], APH-KEYS [Information Technology], TXN-ROP [Information Technology]"
W27,2022-02-23,2022-08-23,1000.0,-77.65,-7.77,-15.04,-2.355,Information Technology,3,"SNPS-KEYS [Information Technology], AMAT-VRSN [Information Technology], KLAC-AVGO [Information Technology]"
W28,2022-03-23,2022-09-21,1000.0,-48.29,-4.83,-9.45,-1.388,Information Technology,3,"TDY-ROP [Information Technology], AMAT-VRSN [Information Technology], AMAT-TEL [Information Technology]"
W29,2022-04-21,2022-10-19,1000.0,484.44,48.44,121.8,1.088,Information Technology,3,"INTC-PTC [Information Technology], JBL-CSCO [Information Technology], KLAC-APH [Information Technology]"
W30,2022-05-19,2022-11-16,1000.0,950.8,95.08,284.8,1.792,Information Technology,3,"MSI-ACN [Information Technology], JBL-APH [Information Technology], KLAC-APH [Information Technology]"
W31,2022-06-17,2022-12-15,1000.0,-30.8,-3.08,-6.11,-0.738,Information Technology,3,"CDW-TEL [Information Technology], ADSK-ADBE [Information Technology], MSFT-FFIV [Information Technology]"
